TERRYR,year_,Count,InABS
NBEN86,1986,7331,TRUE
NRID86,1986,7452,TRUE
NWES86,1986,5317,FALSE
NWSX86,1986,3857,FALSE
PLAZ86,1986,6284,TRUE
PLOT86,1986,4478,TRUE
POLA86,1986,3189,TRUE
RATL86,1986,6600,TRUE
SARA86,1986,3286,FALSE
SCOB86,1986,4484,TRUE
SCOP86,1986,6629,TRUE
SIBR86,1986,4158,FALSE
SIXS86,1986,11291,TRUE
SORA86,1986,3944,TRUE
SPLT86,1986,6870,TRUE
SSAN86,1986,7091,TRUE
WCOP86,1986,8533,TRUE
WCPR86,1986,4504,FALSE
WSIX86,1986,9055,FALSE
XRDS86,1986,5454,TRUE
ARCT87,1987,6633,TRUE
BEND87,1987,8307,TRUE
BIGL87,1987,4997,TRUE
BUBO87,1987,6388,TRUE
CABS87,1987,5460,TRUE
CRAN87,1987,7813,FALSE
DEER87,1987,14174,FALSE
EBAY87,1987,8048,TRUE
FARS87,1987,3587,TRUE
FENC87,1987,4368,FALSE
HICR87,1987,4879,TRUE
LINS87,1987,2646,TRUE
LINX87,1987,4271,FALSE
LOCK87,1987,1576,TRUE
MBEN87,1987,4044,TRUE
MILW87,1987,466,FALSE
MUME87,1987,8243,TRUE
NBEN87,1987,6262,TRUE
NRID87,1987,4541,TRUE
NWES87,1987,12624,FALSE
NWSX87,1987,2620,FALSE
PLOT87,1987,6484,TRUE
POLA87,1987,5430,TRUE
ROSE87,1987,7311,FALSE
SARA87,1987,2800,TRUE
SCOB87,1987,5940,TRUE
SCOP87,1987,6115,TRUE
SIBR87,1987,4273,FALSE
SIXS87,1987,8875,TRUE
SORA87,1987,5566,TRUE
SPLT87,1987,6864,TRUE
SSAN87,1987,9064,TRUE
SWAL87,1987,4725,FALSE
WAHO87,1987,5810,TRUE
WCOP87,1987,6142,TRUE
WCPR87,1987,3297,FALSE
WSIX87,1987,6163,FALSE
XRDS87,1987,7614,TRUE
YTRE87,1987,2402,FALSE
ARCT88,1988,6656,TRUE
BEND88,1988,6964,TRUE
BIGL88,1988,7883,TRUE
BNCH88,1988,6066,TRUE
BUBO88,1988,2430,TRUE
CABS88,1988,6306,TRUE
CABU88,1988,161,TRUE
CROS88,1988,6120,TRUE
CTRN88,1988,3295,TRUE
CTRW88,1988,3336,TRUE
CURY88,1988,2468,TRUE
DEER88,1988,3712,FALSE
EBAY88,1988,8265,TRUE
ECIT88,1988,2649,FALSE
ECUL88,1988,2615,TRUE
FENC88,1988,4187,FALSE
HICR88,1988,8249,TRUE
HUFT88,1988,5922,TRUE
JERE88,1988,2819,FALSE
LAKE88,1988,2197,TRUE
LAZT88,1988,3189,FALSE
LINS88,1988,3304,TRUE
LINX88,1988,2955,FALSE
LOCK88,1988,2974,TRUE
LOOP88,1988,4193,FALSE
LOPZ88,1988,4474,TRUE
MBEN88,1988,7295,TRUE
MRGO88,1988,1139,TRUE
MUME88,1988,5407,TRUE
NJCT88,1988,5207,TRUE
NNWX88,1988,3278,TRUE
NO1988,1988,5200,TRUE
NPOL88,1988,5148,TRUE
NRID88,1988,5951,TRUE
NURS88,1988,1501,FALSE
NWES88,1988,10082,TRUE
PAST88,1988,1722,FALSE
PLOT88,1988,5072,TRUE
POLA88,1988,4378,TRUE
ROSE88,1988,6634,FALSE
RUSS88,1988,2025,FALSE
SAPI88,1988,2608,TRUE
SARA88,1988,3475,FALSE
SCOB88,1988,4425,TRUE
SCOP88,1988,5027,TRUE
SIBR88,1988,3208,FALSE
SIXS88,1988,9545,TRUE
SLUM88,1988,3948,TRUE
SORA88,1988,4456,TRUE
SPLT88,1988,6350,TRUE
SSAN88,1988,9323,TRUE
SWAL88,1988,2725,TRUE
TOMB88,1988,1515,FALSE
WAHO88,1988,5099,TRUE
WCIT88,1988,757,FALSE
WCOP88,1988,7077,TRUE
WNUR88,1988,336,FALSE
WSIX88,1988,4794,FALSE
XRDS88,1988,5995,TRUE
ARCT89,1989,7535,TRUE
BEND89,1989,4859,TRUE
BIGL89,1989,7860,TRUE
BNCH89,1989,5514,TRUE
BUBO89,1989,2670,FALSE
CABS89,1989,6283,TRUE
CROS89,1989,9123,TRUE
CTRN89,1989,4115,TRUE
CTRW89,1989,1767,TRUE
CURY89,1989,3963,TRUE
EBAY89,1989,6567,TRUE
ELIN89,1989,6373,TRUE
FENC89,1989,4782,FALSE
HICE89,1989,2641,TRUE
HICR89,1989,4442,TRUE
HUFT89,1989,3268,TRUE
JERE89,1989,2590,FALSE
LAZT89,1989,3884,TRUE
LINS89,1989,2848,TRUE
LINX89,1989,2413,FALSE
LOCK89,1989,4125,TRUE
LOOP89,1989,5517,FALSE
LOPZ89,1989,5461,TRUE
MBEN89,1989,3475,TRUE
MIKE89,1989,1775,TRUE
MRGO89,1989,2366,FALSE
MUME89,1989,5299,TRUE
NBEN89,1989,5636,TRUE
NJCT89,1989,4208,FALSE
NLAK89,1989,2012,FALSE
NNWX89,1989,3784,TRUE
NO1989,1989,5304,TRUE
NPOL89,1989,3848,TRUE
NRID89,1989,6660,TRUE
NWES89,1989,9708,FALSE
PAST89,1989,2158,FALSE
PLOT89,1989,11413,TRUE
POLA89,1989,7820,TRUE
ROSE89,1989,6326,FALSE
RUSS89,1989,4026,FALSE
SAPI89,1989,3825,TRUE
SARA89,1989,3674,FALSE
SCOB89,1989,4321,TRUE
SCOP89,1989,5027,TRUE
SFLA89,1989,6967,TRUE
SIBR89,1989,2890,FALSE
SIXS89,1989,4259,TRUE
SLUM89,1989,2841,TRUE
SORA89,1989,4909,TRUE
SPLT89,1989,8469,TRUE
SSAN89,1989,3599,TRUE
SWAL89,1989,3536,FALSE
WAHO89,1989,5392,TRUE
