JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference,ClutchNum
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
FZ-R,F,Y,WCOP921,5/31/1992,4/14/1994,1013-63367,683,1
FZ-R,F,Y,WCOP921,5/31/1992,4/14/1994,1013-63367,683,1
AZ-R,F,Y,WCOP921,5/31/1992,2/12/1995,1013-63368,987,1
AZ-R,F,Y,WCOP921,5/31/1992,2/12/1995,1013-63368,987,1
OZ-W,M,Y,SIXS921,5/29/1992,4/14/1998,1013-63369,2146,1
OZ-W,M,Y,SIXS921,5/29/1992,4/14/1998,1013-63369,2146,1
SP-L,F,Y,FARS843,5/8/1984,8/9/1985,1043-44202,458,1
SP-L,F,Y,FARS843,5/8/1984,8/9/1985,1043-44202,458,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZBW-,M,Y,NMIT971,4/18/1997,7/11/2008,1043-44215,4102,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZWR-,F,Y,SFLA971,4/19/1997,4/11/2003,1043-44220,2183,1
ZGR-,M,Y,SFLA971,4/19/1997,6/14/2001,1043-44222,1517,1
ZGR-,M,Y,SFLA971,4/19/1997,6/14/2001,1043-44222,1517,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOG-,M,Y,MCBY971,4/21/1997,8/22/2012,1043-44237,5602,1
ZOY-,F,Y,NWES971,4/23/1997,10/11/1997,1043-44247,171,1
ZOY-,F,Y,NWES971,4/23/1997,10/11/1997,1043-44247,171,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZAW-,F,Y,SFLS971,4/27/1997,4/11/2000,1043-44248,1080,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGW-,M,Y,PRAN971,4/27/1997,2/12/2001,1043-44253,1387,1
ZGY-,F,Y,NPOL971,4/27/1997,10/11/1997,1043-44273,167,1
ZGY-,F,Y,NPOL971,4/27/1997,10/11/1997,1043-44273,167,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZOW-,M,Y,JERE972,5/6/1997,9/11/2000,1043-44289,1224,1
ZAR-,F,Y,HELP971,5/6/1997,3/17/1998,1043-44290,315,1
ZAR-,F,Y,HELP971,5/6/1997,3/17/1998,1043-44290,315,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZAG-,F,Y,DEER972,5/9/1997,6/14/2001,1043-44293,1497,1
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
ZOO-,M,Y,SCOP973,5/11/1997,7/11/2002,1043-44300,1887,2
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SWO,M,Y,SIBR881,4/28/1988,10/16/1991,1043-80125,1266,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SGO,F,Y,SIBR881,4/28/1988,6/10/1989,1043-80127,408,1
-SBO,F,Y,CTRW881,4/27/1988,9/15/1989,1043-80129,506,1
-SBO,F,Y,CTRW881,4/27/1988,9/15/1989,1043-80129,506,1
-SBO,F,Y,CTRW881,4/27/1988,9/15/1989,1043-80129,506,1
-SBO,F,Y,CTRW881,4/27/1988,9/15/1989,1043-80129,506,1
-SPO,F,Y,CTRW881,4/27/1988,4/14/1993,1043-80130,1813,1
-SPO,F,Y,CTRW881,4/27/1988,4/14/1993,1043-80130,1813,1
-SPO,F,Y,CTRW881,4/27/1988,4/14/1993,1043-80130,1813,1
-SPO,F,Y,CTRW881,4/27/1988,4/14/1993,1043-80130,1813,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SAO,M,Y,SPLT882,5/7/1988,2/12/1995,1043-80139,2472,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SOF,M,Y,NWES881,5/7/1988,7/16/1992,1043-80142,1531,1
-SWF,M,Y,SORA882,5/8/1988,11/13/1991,1043-80143,1284,1
-SWF,M,Y,SORA882,5/8/1988,11/13/1991,1043-80143,1284,1
-SWF,M,Y,SORA882,5/8/1988,11/13/1991,1043-80143,1284,1
-SWF,M,Y,SORA882,5/8/1988,11/13/1991,1043-80143,1284,1
-SWF,M,Y,SORA882,5/8/1988,11/13/1991,1043-80143,1284,1
-SRF,M,Y,SORA882,5/8/1988,6/12/1996,1043-80144,2957,1
-SRF,M,Y,SORA882,5/8/1988,6/12/1996,1043-80144,2957,1
-SRF,M,Y,SORA882,5/8/1988,6/12/1996,1043-80144,2957,1
-SRF,M,Y,SORA882,5/8/1988,6/12/1996,1043-80144,2957,1
-SRF,M,Y,SORA882,5/8/1988,6/12/1996,1043-80144,2957,1
-SGF,F,Y,SORA882,5/8/1988,8/15/1989,1043-80145,464,1
-SGF,F,Y,SORA882,5/8/1988,8/15/1989,1043-80145,464,1
-SGF,F,Y,SORA882,5/8/1988,8/15/1989,1043-80145,464,1
-SWn,M,Y,LINS881,5/9/1988,5/12/1988,1043-80150,3,1
-SWn,M,Y,LINS881,5/9/1988,5/12/1988,1043-80150,3,1
-SWn,M,Y,LINS881,5/9/1988,5/12/1988,1043-80150,3,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SRL,M,Y,LINS881,5/9/1988,4/14/1993,1043-80151,1801,1
-SWn,M,Y,SIXS881,5/10/1988,6/14/1988,1043-80158,35,1
-SWn,M,Y,SIXS881,5/10/1988,6/14/1988,1043-80158,35,1
-SWn,M,Y,SIXS881,5/10/1988,6/14/1988,1043-80158,35,1
-SBP,M,Y,DEER881,5/9/1988,1/18/1992,1043-80161,1349,1
-SBP,M,Y,DEER881,5/9/1988,1/18/1992,1043-80161,1349,1
-SBP,M,Y,DEER881,5/9/1988,1/18/1992,1043-80161,1349,1
-SBP,M,Y,DEER881,5/9/1988,1/18/1992,1043-80161,1349,1
-SBP,M,Y,DEER881,5/9/1988,1/18/1992,1043-80161,1349,1
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SBL,F,Y,BIGL882,5/12/1988,10/13/1992,1043-80168,1615,2
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SWL,F,Y,LOCK881,5/12/1988,10/11/1989,1043-80171,517,1
-SGL,F,Y,BUBO881,5/18/1988,7/13/1990,1043-80178,786,1
