USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1713-13379,-nWQ,F,Y,SFLW101,4/30/2010,6/21/2010
1713-13380,-nRQ,F,Y,SFLW101,4/30/2010,6/21/2010
1713-49769,Q-GP,F,Y,ANGB131,5/3/2013,10/14/2015
1713-49767,Q-GY,F,Y,ANGB131,5/3/2013,2/11/2015
1713-13382,-PYQ,F,Y,LARY101,5/1/2010,8/12/2015
1713-49761,Q-nP,F,Y,JERE131,5/2/2013,5/23/2013
1713-49766,Q-WG,F,Y,BUBO131,5/3/2013,1/14/2015
1713-49751,Q-nO,F,Y,HEWT131,4/30/2013,5/17/2013
1713-13387,-ORQ,F,Y,WISE101,5/2/2010,10/17/2012
1713-13388,-OGQ,F,Y,WISE101,5/2/2010,7/12/2010
1713-49762,Q-WO,F,Y,NURS132,5/2/2013,8/13/2014
1713-13391,-nHQ,F,Y,N7RD101,4/30/2010,5/17/2010
1713-13392,-nAQ,F,Y,N7RD101,4/30/2010,6/16/2010
1713-13395,-OPQ,F,Y,LARR101,5/3/2010,4/1/2013
1713-13384,-PPQ,F,Y,LARY101,5/1/2010,7/6/2010
1713-13653,-ALQ,F,Y,COPS101,5/14/2010,4/16/2013
1713-49718,Q-WL,F,Y,CURY132,4/23/2013,10/14/2015
1713-13634,-APQ,F,Y,FENC101,5/6/2010,7/17/2010
1713-13635,-AOQ,F,Y,FENC101,5/6/2010,5/15/2012
1713-13643,-HHQ,F,Y,CURY101,5/9/2010,6/15/2011
1713-49383,nQ-R,F,Y,WVAL122,6/2/2012,6/3/2012
1713-13647,-OAQ,F,Y,CRSN102,5/11/2010,4/13/2011
1713-13613,-PRQ,F,Y,CATE101,5/7/2010,7/15/2010
1713-49375,nQ-G,F,Y,CATB121,5/20/2012,5/21/2012
1713-13628,-nAQ,F,Y,PMPE101,5/7/2010,6/16/2010
1713-49367,RQ-G,F,Y,CURY122,5/17/2012,10/14/2015
1713-13657,-nRQ,F,Y,SCAC101,5/15/2010,5/19/2010
1713-49366,nQ-R,F,Y,CURY122,5/17/2012,6/1/2012
1713-49360,nQ-L,F,Y,PINS121,5/12/2012,5/24/2012
1713-49359,GQ-O,F,Y,PINS121,5/12/2012,7/17/2013
1713-13312,AY-Q,F,Y,EBAY092,5/31/2009,1/10/2011
1713-49381,nQ-H,F,Y,DICE123,5/30/2012,6/7/2012
1713-49732,Q-RA,F,Y,EAGB131,4/25/2013,12/11/2013
1713-13372,-nRQ,F,Y,SFLS101,4/29/2010,6/17/2010
1713-13615,-nYQ,F,Y,WLIN101,5/6/2010,5/29/2010
1713-49750,Q-BP,F,Y,HEWT131,4/30/2013,7/21/2014
1713-49749,Q-BB,F,Y,HEWT131,4/30/2013,10/14/2015
1713-49747,Q-BG,F,Y,SFLS131,4/29/2013,10/14/2015
1713-49743,Q-RL,F,Y,BNCH131,4/29/2013,10/14/2015
1713-49719,Q-WH,F,Y,CURY132,4/23/2013,2/11/2015
1713-13620,-nHQ,F,Y,NBEN101,5/6/2010,5/8/2010
1713-49725,Q-nW,F,Y,BINX131,4/23/2013,5/15/2013
1713-49731,Q-nH,F,Y,EAGB131,4/25/2013,5/18/2013
