JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
-GHQ,F,Y,SCOB102,5/19/2010 0:00,16-Feb-11,1713-13665,273
-nLQ,F,Y,HILD101,5/25/2010 0:00,01-Jun-10,1713-13667,7
-BHQ,M,Y,HILD101,5/25/2010 0:00,22-Jul-10,1713-13668,58
-nBQ,M,Y,NXRD101,5/18/2010 0:00,01-Jul-10,1713-13669,44
-nPQ,M,Y,NXRD101,5/18/2010 0:00,22-May-10,1713-13670,4
-nOQ,F,Y,SING101,5/21/2010 0:00,17-Jun-10,1713-13671,27
-YLQ,F,Y,SING101,5/21/2010 0:00,11-Mar-15,1713-13672,1755
-OWQ,F,Y,SAND101,5/23/2010 0:00,13-Aug-14,1713-13673,1543
-nRQ,F,Y,SAND101,5/23/2010 0:00,25-May-10,1713-13674,2
-nGQ,M,Y,SAND101,5/23/2010 0:00,24-May-10,1713-13675,1
-OYQ,F,Y,SAND101,5/23/2010 0:00,16-Oct-13,1713-13676,1242
-PBQ,M,Y,HTOP104,5/25/2010 0:00,06-Aug-10,1713-13677,73
-nPQ,M,Y,HTOP104,5/25/2010 0:00,26-May-10,1713-13678,1
-PLQ,F,Y,HTOP104,5/25/2010 0:00,12-Apr-16,1713-13680,2149
-YHQ,M,Y,NWES103,5/29/2010 0:00,11-May-11,1713-13684,347
-YAQ,M,Y,NWES103,5/29/2010 0:00,17-Aug-11,1713-13685,445
-nYQ,F,Y,RISE101,5/30/2010 0:00,27-Jun-10,1713-13686,28
-OBQ,F,Y,RISE101,5/30/2010 0:00,06-Aug-10,1713-13687,68
-nPQ,M,Y,RISE101,5/30/2010 0:00,25-Jul-10,1713-13688,56
-GAQ,M,Y,VALL103,5/31/2010 0:00,15-Jun-11,1713-13690,380
-nLQ,F,Y,EBAY103,6/2/2010 0:00,05-Jun-10,1713-13693,3
-HPQ,M,Y,ANGL102,6/5/2010 0:00,13-Aug-14,1713-13700,1530
-nOQ,F,Y,ANGL102,6/5/2010 0:00,06-Jun-10,1713-13901,1
-OHQ,M,Y,ANGL102,6/5/2010 0:00,14-Dec-11,1713-13903,557
-LWQ,M,Y,LOPZ102,6/3/2010 0:00,07-Jul-14,1713-13695,1495
-nGQ,M,Y,LOPZ102,6/3/2010 0:00,21-Jul-10,1713-13697,48
-nYQ,M,Y,FARS102,6/6/2010 0:00,12-Jun-10,1713-13698,6
-nBQ,F,Y,FARS102,6/6/2010 0:00,06-Jun-10,1713-13699,0
-nRQ,F,Y,REED102,6/13/2010 0:00,28-Jun-10,1713-13906,15
-BYQ,F,Y,ANGB102,6/14/2010 0:00,01-Apr-13,1713-13908,1022
-nBQ,F,Y,ANGB102,6/14/2010 0:00,22-Jun-10,1713-13909,8
-nPQ,F,Y,ANGB102,6/14/2010 0:00,16-Aug-10,1713-13910,63
-nOQ,M,Y,ANGB102,6/14/2010 0:00,15-Jun-10,1713-13911,1
-nWQ,F,Y,N7RD102,6/17/2010 0:00,18-Jun-10,1713-13915,1
-nRQ,M,Y,N7RD102,6/17/2010 0:00,18-Jun-10,1713-13916,1
-nGQ,F,Y,N7RD102,6/17/2010 0:00,18-Jun-10,1713-13917,1
-nYQ,F,Y,N7RD102,6/17/2010 0:00,18-Jun-10,1713-13918,1
-GPQ,F,Y,SR70102,6/21/2010 0:00,13-Aug-14,1713-13920,1514
-HOQ,F,Y,SR70102,6/21/2010 0:00,14-Dec-11,1713-13921,541
-nLQ,F,Y,SR70102,6/21/2010 0:00,15-Sep-10,1713-13922,86
-nWQ,M,Y,CIRC105,6/22/2010 0:00,11-Apr-12,1713-13923,659
-nRQ,F,Y,CIRC105,6/22/2010 0:00,24-Jun-10,1713-13924,2
-nGQ,M,Y,CIRC105,6/22/2010 0:00,17-Nov-10,1713-13925,148
-AYQ,F,Y,WCUL103,6/22/2010 0:00,13-May-15,1713-13926,1786
-nBQ,F,Y,WCUL103,6/22/2010 0:00,30-Jul-10,1713-13927,38
-LOQ,F,Y,TP39107,6/22/2010 0:00,16-Jan-13,1713-13929,939
-nWQ,M,Y,PLAZ104,7/2/2010 0:00,03-Jul-10,1713-13931,1
-BRQ,F,Y,PLAZ104,7/2/2010 0:00,01-Apr-13,1713-13932,1004
-nGQ,F,Y,PLAZ104,7/2/2010 0:00,03-Jul-10,1713-13933,1
WRQ-,F,Y,NBEN111,4/9/2011 0:00,12-Apr-16,1713-13952,1830
nGQ-,F,Y,NBEN111,4/9/2011 0:00,13-May-11,1713-13953,34
nYQ-,M,Y,NBEN111,4/9/2011 0:00,13-Apr-11,1713-13954,4
WBQ-,M,Y,TP11111,4/13/2011 0:00,17-Sep-14,1713-13955,1253
WPQ-,M,Y,TP11111,4/13/2011 0:00,12-Apr-16,1713-13956,1826
WOQ-,M,Y,TP11111,4/13/2011 0:00,15-Jun-11,1713-13957,63
WWQ-,M,Y,WISB111,4/11/2011 0:00,11-Jun-11,1713-13958,61
nGQ-,F,Y,WISB111,4/11/2011 0:00,20-Apr-11,1713-13960,9
nOQ-,F,Y,PINN111,4/11/2011 0:00,26-Apr-11,1713-13964,15
WLQ-,M,Y,PINN111,4/11/2011 0:00,14-Jun-11,1713-13965,64
