JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
nQR-,F,Y,ELIN151,5/23/2015 0:00,25-Jun-15,1713-90159,33
OQG-,F,Y,ELIN151,5/23/2015 0:00,16-Dec-15,1713-90160,207
AQY-,F,Y,CHUR152,5/24/2015 0:00,12-Apr-16,1713-90161,324
AQB-,F,Y,CHUR152,5/24/2015 0:00,12-Aug-15,1713-90162,80
AQP-,M,Y,CHUR152,5/24/2015 0:00,12-Apr-16,1713-90163,324
AQO-,M,Y,CHUR152,5/24/2015 0:00,12-Aug-15,1713-90164,80
HQO-,M,Y,LOPZ152,5/25/2015 0:00,12-Apr-16,1713-90167,323
AQW-,M,Y,FNCY154,5/26/2015 0:00,12-Apr-16,1713-90168,322
LQR-,M,Y,FNCY154,5/26/2015 0:00,12-Apr-16,1713-90169,322
LQG-,M,Y,FNCY154,5/26/2015 0:00,12-Apr-16,1713-90170,322
LQY-,M,Y,FNCY154,5/26/2015 0:00,12-Apr-16,1713-90171,322
nQL-,M,Y,NBNB153,6/1/2015 0:00,17-Jun-15,1713-90172,16
BQH-,M,Y,BLRB153,6/5/2015 0:00,12-Apr-16,1713-90181,312
AQH-,M,Y,CHET152,6/12/2015 0:00,12-Apr-16,1713-90183,305
BQR-,M,Y,CHET152,6/12/2015 0:00,12-Aug-15,1713-90184,61
AQG-,F,Y,CHET152,6/12/2015 0:00,12-Apr-16,1713-90185,305
nQY-,M,Y,NSWL153,6/14/2015 0:00,12-Aug-15,1713-90186,59
nQB-,F,Y,NSWL153,6/14/2015 0:00,12-Aug-15,1713-90187,59
HQP-,F,Y,NSWL153,6/14/2015 0:00,12-Apr-16,1713-90188,303
GQO-,M,Y,BNCH153,6/13/2015 0:00,12-Apr-16,1713-90189,304
nQL-,M,Y,BNCH153,6/13/2015 0:00,01-Jul-15,1713-90190,18
nQW-,M,Y,BINX154,6/22/2015 0:00,20-Jan-16,1713-90192,212
nQR-,F,Y,BINX154,6/22/2015 0:00,12-Aug-15,1713-90193,51
nQY-,F,Y,BINX154,6/22/2015 0:00,12-Aug-15,1713-90195,51
nQB-,M,Y,PINS153,6/24/2015 0:00,24-Jun-15,1713-90196,0
nQP-,M,Y,PINS153,6/24/2015 0:00,24-Jun-15,1713-90197,0
WQL-,F,Y,RISE151,4/25/2015 0:00,12-Apr-16,1713-90302,353
